objectid,filename,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
PL001,otter plushie_DL.png,Otter with white head,The Spanish Bloom,,"Small otter plushie with a white head and a brown body. Fun fact: Otters grey like humans as they age, so otters with white or silver fur at their head are older in age.",Otter,Prescott Arizona,34.539984,-112.468812,Digitized photo,PL001,Image;StillImage,image/png,English,image,/objects/PL001.jpg,/objects/PL001.jpg,/objects/PL001.jpg,Small otter plushie with a white head and a brown body,
PL002,duck with forg hat plushie_DL.png,Duckie with frog hat,The Spanish Bloom,,"Small duck plushie wearing a green frog hat. Fun fact: Ducklings are yellow because the color helps them blend in with grass and vegetation, hiding them from predators.",Duck,Prescott Arizona,34.539984,-112.468812,Digitized photo,PL002,Image;StillImage,image/png,English,image,/objects/PL002.jpg,/objects/PL002.jpg,/objects/PL002.jpg,Small duck plushie wearing a green frog hat. ,
PL003,two-headed cow plushie_DL.png,Two-headed cow with star eyes,Cow Abduction Crochet,,"A large cow plushie with two heads and four eyes. Its eyes have silver stars on them, and there is a miniature cow bell around its neck. Fun fact: This plushie design is based on the poem ""Two-Headed Calf"", by Laura Gilpin.",Cow,Los Angeles California,34.0536909,-118.242766,Digitized photo,PL003,Image;StillImage,image/png,English,image,/objects/PL003.jpg,/objects/PL003.jpg,/objects/PL003.jpg,"A large cow plushie with two heads and four eyes. Its eyes have silver stars on them, and there is a miniature cow bell around its neck. ",
PL004,mushroom plushies_DL.png,Colorful mushrooms,Blue Jay Crochet ,,"Two small mushroom plushies with eyes, one is purple (left) and the other is blue (right). Fun fact: These plushies are designed after the Lobster Mushroom which are typically orange in color and taste faintly of lobster when cooked.",Mushroom,Flagstaff Arizona,35.1987522,-111.651822,Digitized photo,PL004,Image;StillImage,image/png,English,image,/objects/PL004.jpg,/objects/PL004.jpg,/objects/PL004.jpg,"Two small mushroom plushies with eyes, one is purple (left) and the other is blue (right). ",
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
